,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
152,2009,525879.2,525879.2,525879.2,2009-05-05
153,2009,150000.0,150000.0,150000.0,2009-09-28
154,2009,4551.78,4551.78,4551.78,2009-05-22
155,2009,5593.8,5593.8,5593.8,2009-01-27
156,2009,12922.62,12922.62,12922.62,2009-06-30
157,2009,50000.0,50000.0,50000.0,2009-09-06
158,2009,9936.32,9936.32,0.0,2009-09-15
159,2009,89226.5,89226.5,0.0,2009-05-04
160,2009,64952.07,64952.07,64952.07,2009-05-14
161,2009,82330.4,82330.4,0.0,2009-08-07
162,2009,32486.25,32486.25,32486.25,2009-09-11
163,2009,44324.36,44324.36,0.0,2009-09-09
164,2009,240272.0,240272.0,240272.0,2008-12-10
165,2009,900867.0,376000.0,3871907.0,2009-05-29
166,2009,64000.0,64000.0,0.0,2009-09-19
167,2009,72361.22,72361.22,72361.22,2008-10-09
168,2009,47998.52,47998.52,47998.52,2009-08-18
169,2009,10077.67,10077.67,0.0,2009-09-19
170,2009,142710.99,142710.99,142710.99,2009-06-11
171,2009,86425.0,86425.0,86425.0,2009-04-02
172,2009,15061.33,15061.33,15061.33,2009-04-22
173,2009,23500.0,23500.0,23500.0,2009-03-30
174,2009,143996.0,143996.0,143996.0,2009-03-30
175,2009,1425593.33,1425593.33,1425593.33,2008-10-27
176,2009,14645.0,14645.0,14645.0,2009-07-08
177,2009,109147.79,109147.79,0.0,2008-10-10
178,2009,33376.0,33376.0,33376.0,2009-03-03
179,2009,6091.08,6091.08,6091.08,2009-09-16
180,2009,774659.0,774659.0,774659.0,2009-01-14
181,2009,1761.73,1761.73,1761.73,2009-05-18
182,2009,100265.57,100265.57,100265.57,2009-09-23
183,2009,38095.6,38095.6,38095.6,2009-02-06
184,2009,543191.0,543191.0,0.0,2009-09-10
185,2009,18361.77,18361.77,18361.77,2009-08-04
186,2009,53000.0,53000.0,53000.0,2009-09-11
187,2009,60450.0,60450.0,60450.0,2009-08-25
188,2009,60000.0,60000.0,0.0,2009-08-31
189,2009,8601.28,8601.28,8601.28,2009-02-26
190,2009,55452.0,55452.0,55452.0,2009-08-07
191,2009,32105.98,32105.98,32105.98,2008-11-12
192,2009,74812.5,74812.5,0.0,2009-06-05
193,2009,7655.11,7655.11,0.0,2009-05-06
194,2009,42725.0,42725.0,0.0,2009-08-15
195,2009,5741.44,5741.44,0.0,2009-08-07
196,2009,14450.8,14450.8,0.0,2009-06-08
197,2009,999991.54,999991.54,0.0,2009-09-11
198,2009,13000.0,13000.0,13000.0,2009-08-11
199,2009,9788.17,9788.17,0.0,2009-07-24
200,2009,53377.91,53377.91,53377.91,2009-01-27
201,2009,170509.08,170509.08,170509.08,2009-09-11
202,2009,12969.0,12969.0,12969.0,2009-08-03
203,2009,22044.64,22044.64,0.0,2009-05-14
204,2009,53500.0,53500.0,53500.0,2009-09-01
205,2009,16555.8,16555.8,16555.8,2009-01-05
206,2009,88000.0,88000.0,88000.0,2009-09-22
207,2009,4540.0,4540.0,4540.0,2008-10-28
208,2009,395198.9,395198.9,395198.9,2009-09-25
209,2009,244632.55,244632.55,244632.55,2008-10-01
210,2009,13000.0,13000.0,13000.0,2009-09-07
211,2009,52133.0,52133.0,52133.0,2009-06-23
212,2009,21685.2,21685.2,21685.2,2009-09-28
213,2009,6808.0,6808.0,6808.0,2009-04-23
214,2009,44440.0,44440.0,0.0,2009-08-17
215,2009,14309.0,14309.0,14309.0,2008-10-08
216,2009,423181.92,423181.92,423181.92,2009-01-22
217,2009,4246.68,4246.68,4246.68,2008-11-24
218,2009,29184.0,29184.0,29184.0,2009-08-31
219,2009,42510.8,42510.8,0.0,2009-02-09
220,2009,16072.0,16072.0,16072.0,2009-08-26
221,2009,13675.64,13675.64,13675.64,2009-01-27
222,2009,516816.0,516816.0,0.0,2009-01-09
223,2009,51750.0,51750.0,51750.0,2009-01-22
224,2009,238251.81,238251.81,238251.81,2008-12-18
225,2009,19792.0,19792.0,0.0,2009-09-19
226,2009,1858026.36,1858026.36,1858026.36,2009-08-05
227,2009,414004.4,414004.4,0.0,2009-09-19
228,2009,103800.0,0.0,103800.0,2008-10-01
