,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
753,2009,28631.91,28631.91,28631.91,2009-01-13
754,2009,483410.16,483410.16,483410.16,2009-09-24
755,2009,32950.88,32950.88,32950.88,2009-09-04
756,2009,974316.25,974316.25,974316.25,2009-05-26
757,2009,29902.03,0.0,29902.03,2009-09-30
758,2009,501860.76,501860.76,2080636.13,2009-09-30
759,2009,311529.26,311529.26,311529.26,2009-09-09
760,2009,21165.69,21165.69,25000.0,2009-07-16
761,2009,114901.92,114901.92,114901.92,2009-07-30
762,2009,33111.61,33111.61,33111.61,2009-07-15
763,2009,4013.26,4013.26,4013.26,2009-04-29
764,2009,251380.24,251380.24,251380.24,2009-09-30
765,2009,3231.06,3231.06,3231.06,2009-09-30
766,2009,23388.32,23388.32,23388.32,2009-02-17
767,2009,53000.0,53000.0,53000.0,2009-09-09
768,2009,3535.15,3535.15,3535.15,2009-09-30
769,2009,191883.7,191883.7,1811971.27,2009-09-23
770,2009,1060844.4,1060844.4,1060844.4,2009-09-17
771,2009,64449.0,64449.0,64449.0,2009-03-11
772,2009,4692.51,4692.51,5000.0,2009-09-27
773,2009,183989.65,183989.65,183989.65,2009-04-03
774,2009,80569.65,80569.65,80569.65,2009-04-27
775,2009,567929.95,567929.95,567929.95,2009-05-27
776,2009,137798.39,137798.39,137798.39,2009-09-30
777,2009,342799.18,342799.18,342799.18,2009-04-09
778,2009,1982.03,1982.03,1982.03,2009-09-23
779,2009,10621989.99,10621989.99,54706976.24,2009-09-26
780,2009,18132.45,18132.45,18132.45,2009-04-29
781,2009,402500.0,402500.0,402500.0,2009-06-05
782,2009,13862.6,13862.6,15000.0,2009-09-02
783,2009,11924.28,11924.28,11924.28,2009-05-04
784,2009,15918.48,15918.48,15918.48,2009-07-17
785,2009,78960.0,78960.0,0.0,2009-07-16
786,2009,262228.0,262228.0,262228.0,2009-06-15
787,2009,20208.2,20208.2,20208.2,2009-07-10
788,2009,265344.59,265344.59,265344.59,2009-09-23
789,2009,7482.16,7482.16,7482.16,2009-05-14
790,2009,10413.88,10413.88,10413.88,2009-04-14
791,2009,113883.5,113883.5,113883.5,2009-06-23
792,2009,4953146.29,4953146.29,4953146.29,2009-09-21
793,2009,360312.0,360312.0,360312.0,2009-01-28
794,2009,6341.2,6341.2,6341.2,2009-05-21
795,2009,5898.2,5898.2,5898.2,2009-02-19
796,2009,224245.22,224245.22,224245.22,2009-08-20
797,2009,238810.0,238810.0,238810.0,2009-09-04
798,2009,4298.92,4298.92,4298.92,2009-01-29
799,2009,16758.18,16758.18,16758.18,2009-05-28
800,2009,243664.92,243664.92,243664.92,2009-09-30
801,2009,204884.85,204884.85,204884.85,2009-08-10
802,2009,11144.11,11144.11,11144.11,2009-09-18
803,2009,307201.0,307201.0,307201.0,2009-02-12
804,2009,378040.0,378040.0,378040.0,2009-05-07
805,2009,292006.08,292006.08,292006.08,2009-02-26
806,2009,11670.61,11670.61,11670.61,2009-04-13
807,2009,49017.6,49017.6,49017.6,2009-07-31
808,2009,5732.0,5732.0,5732.0,2009-09-18
809,2009,3090.74,3090.74,3090.74,2009-01-30
810,2009,130224.78,130224.78,3500000.0,2009-02-10
811,2009,9285.84,9285.84,9285.84,2009-07-17
812,2009,37583.97,37583.97,37583.97,2009-09-29
813,2009,100000.0,100000.0,100000.0,2009-04-17
814,2009,133092.0,133092.0,133092.0,2009-01-09
815,2009,920970.12,920970.12,920970.12,2009-03-27
816,2009,115000.0,115000.0,115000.0,2009-09-30
817,2009,5494.8,5494.8,5494.8,2009-05-14
818,2009,58738.22,58738.22,58738.22,2009-04-21
819,2009,340359.0,340359.0,340359.0,2009-03-27
820,2009,20341.98,0.0,20341.98,2009-09-30
821,2009,21483.6,21483.6,21483.6,2009-03-10
822,2009,5170.0,5170.0,5170.0,2009-09-14
823,2009,295714.9,295714.9,0.0,2009-05-05
824,2009,63758.26,63758.26,0.0,2009-06-24
825,2009,110955.84,110955.84,110955.84,2009-09-29
