,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
230,2009,54485.0,54485.0,54485.0,2008-10-07
231,2009,30000.0,30000.0,30000.0,2008-10-01
232,2009,37006.62,37006.62,37006.62,2008-12-12
233,2009,35850.1,35850.1,35850.1,2008-11-25
234,2009,44750.0,44750.0,44750.0,2008-12-24
235,2009,43288.5,43288.5,43288.5,2008-10-08
236,2009,36485.88,36485.88,36485.88,2008-11-14
237,2009,81195.88,81195.88,81195.88,2008-12-19
238,2009,136500.0,136500.0,409500.0,2008-11-13
239,2009,35463.35,35463.35,35463.35,2008-10-23
240,2009,211702.64,211702.64,211702.64,2008-10-01
241,2009,13436.93,13436.93,13436.93,2008-10-01
242,2009,184308.8,184308.8,184308.8,2008-10-01
243,2009,152150.75,152150.75,152150.75,2008-10-01
244,2009,89510.02,89510.02,89510.02,2008-10-28
245,2009,17053.23,17053.23,52734.32,2008-11-03
246,2009,3000.0,3000.0,3000.0,2008-10-20
247,2009,3216.0,3216.0,3216.0,2008-10-01
248,2009,2978069.99,2978069.99,2978069.99,2008-12-17
249,2009,2920345.93,2920345.93,4380518.9,2008-12-23
250,2009,9675.14,9675.14,9675.14,2008-10-23
251,2009,15351.0,15351.0,15351.0,2008-12-05
252,2009,25386.41,25386.41,25386.41,2008-10-01
253,2009,486602.17,486602.17,486602.17,2008-10-11
254,2009,624492.0,624492.0,3454405.04,2008-10-01
255,2009,27793.28,27793.28,27793.28,2008-11-25
256,2009,4412.8,4412.8,4412.8,2008-11-24
257,2009,6263.2,6263.2,6263.2,2008-11-28
258,2009,13686.0,13686.0,13686.0,2008-11-20
259,2009,65000.04,65000.04,0.0,2008-10-01
260,2009,16997.38,16997.38,16997.38,2008-11-18
261,2009,28517.08,28517.08,28517.08,2008-11-21
262,2009,87899.85,87899.85,87899.85,2008-10-01
263,2009,27076.63,27076.63,27076.63,2008-12-19
264,2009,41988.0,41988.0,41988.0,2008-11-12
265,2009,78500.0,78500.0,78500.0,2008-10-01
266,2009,6441.0,6441.0,6441.0,2008-12-22
267,2009,3431.1,3431.1,3431.1,2008-10-27
268,2009,210408.0,210408.0,210408.0,2008-10-01
269,2009,11911.25,11911.25,11911.25,2008-12-31
270,2009,232787.04,232787.04,232787.04,2008-10-01
271,2009,246249.4,246249.4,246249.4,2008-11-24
272,2009,901005.0,901005.0,2795725.0,2008-10-01
273,2009,0.0,0.0,0.0,2008-10-30
274,2009,29744.8,29744.8,29744.8,2008-10-28
275,2009,4000.0,4000.0,4000.0,2008-12-19
276,2009,99999.96,99999.96,99999.96,2008-10-01
277,2009,4511.46,4511.46,4511.46,2008-10-01
278,2009,66000.0,66000.0,66000.0,2008-10-01
279,2009,4979.04,4979.04,4979.04,2008-12-18
280,2009,47370.53,47370.53,47370.53,2008-11-20
281,2009,112196.0,112196.0,112196.0,2008-12-31
282,2009,30458.25,30458.25,30458.25,2008-10-01
283,2009,2230220.8,2230220.8,2230220.8,2008-10-01
284,2009,29593.61,29593.61,29593.61,2008-10-01
285,2009,19758.81,19758.81,19758.81,2008-11-21
286,2009,38576.0,38576.0,38576.0,2008-10-01
287,2009,60000.0,60000.0,60000.0,2009-09-28
288,2009,28719.24,28719.24,28719.24,2008-10-10
289,2009,5183.65,5183.65,5183.65,2009-04-16
290,2009,2316929.0,2316929.0,3933731.0,2009-09-23
291,2009,7722.33,7722.33,7722.33,2009-07-17
292,2009,323168.2,323168.2,323168.2,2009-05-01
293,2009,7753.41,7753.41,7753.41,2009-08-04
294,2009,179689.31,179689.31,179689.31,2009-09-29
295,2009,12267.14,12267.14,12267.14,2009-05-26
296,2009,3671.43,3671.43,3671.43,2009-09-28
297,2009,43146.74,43146.74,238494.44,2009-09-28
298,2009,21244.2,21244.2,21244.2,2009-08-03
299,2009,4891803.01,4891803.01,4891803.01,2009-01-09
300,2009,863228.96,863228.96,863228.96,2009-08-13
301,2009,24852.02,24852.02,24852.02,2009-02-01
302,2009,13581.0,13581.0,13581.0,2009-06-02
303,2009,102606.25,102606.25,307818.75,2009-09-16
304,2009,296757.24,296757.24,296757.24,2009-09-30
305,2009,116448.0,116448.0,116448.0,2009-09-30
306,2009,12920.0,12920.0,12920.0,2009-06-18
307,2009,388398.01,388398.01,388398.01,2009-02-25
308,2009,5031.52,5031.52,5031.52,2009-09-01
309,2009,2137.99,2137.99,2137.99,2009-02-26
310,2009,59910.53,59910.53,59910.53,2009-05-28
311,2009,22377.92,22377.92,22377.92,2009-03-06
312,2009,90680.0,90680.0,90680.0,2009-04-02
313,2009,296119.75,296119.75,296119.75,2009-09-28
314,2009,9537.94,9537.94,9537.94,2009-08-06
315,2009,374256.08,374256.08,374256.08,2009-08-11
316,2009,850526.8,850526.8,850526.8,2009-05-05
317,2009,3887412.42,3887412.42,17282799.65,2009-09-29
318,2009,31552.59,31552.59,31552.59,2009-04-08
319,2009,619527.3,619527.3,1060135.14,2009-09-30
320,2009,16087.8,16087.8,16087.8,2009-06-02
321,2009,8608.61,8608.61,8608.61,2009-03-25
322,2009,6250.0,6250.0,6250.0,2009-04-01
323,2009,16496.75,16496.75,16496.75,2009-09-23
324,2009,9944.19,9944.19,9944.19,2009-09-18
325,2009,73561.53,23732.46,73561.53,2009-06-08
326,2009,68686.83,68686.83,68686.83,2009-07-08
327,2009,2907676.18,2907676.18,2907676.18,2009-02-02
328,2009,8222.98,8222.98,8222.98,2009-09-30
329,2009,144870.0,144870.0,144870.0,2009-09-21
330,2009,86913.25,86913.25,86913.25,2009-07-01
331,2009,10815.0,10815.0,10815.0,2009-09-18
332,2009,3981.78,3981.78,3981.78,2009-05-05
333,2009,8995.93,8995.93,8995.93,2009-05-12
334,2009,18700.0,18700.0,18700.0,2009-01-01
335,2009,18413.22,18413.22,18413.22,2009-01-06
336,2009,49697.84,49697.84,49697.84,2009-02-25
337,2009,10664.43,10664.43,10664.43,2009-06-18
338,2009,50562.9,50562.9,50562.9,2009-09-30
339,2009,34388.1,34388.1,34388.1,2009-09-29
340,2009,119532.87,119532.87,119532.87,2009-07-22
341,2009,24048.78,24048.78,24048.78,2009-07-23
342,2009,1463340.0,1463340.0,4193512.59,2009-04-02
343,2009,56000.0,56000.0,56000.0,2009-03-11
344,2009,100107.58,100107.58,100107.58,2009-09-23
345,2009,38606.0,38606.0,38606.0,2009-04-03
346,2009,3901.34,3901.34,3901.34,2009-07-09
347,2009,6753.42,6753.42,6753.42,2009-09-16
348,2009,6800.6,6800.6,6800.6,2009-03-21
349,2009,930530.2,930530.2,930530.2,2009-08-31
350,2009,41300.0,41300.0,41300.0,2009-08-21
351,2009,597821.03,597821.03,1128581.0,2009-09-25
352,2009,165691.32,165691.32,165691.32,2009-06-15
353,2009,46075.03,46075.03,46075.03,2009-07-31
354,2009,21366.88,21366.88,21366.88,2009-08-20
355,2009,125155.76,125155.76,125155.76,2009-08-02
356,2009,6982.53,6982.53,6982.53,2009-06-01
357,2009,17664.01,17664.01,17664.01,2009-06-24
358,2009,44181.0,44181.0,44181.0,2009-09-28
359,2009,56167.13,56167.13,56167.13,2009-09-17
360,2009,65000.0,65000.0,65000.0,2009-01-01
361,2009,103444.99,103444.99,103444.99,2009-05-20
362,2009,444431.96,444431.96,444431.96,2009-09-29
363,2009,7099.69,7099.69,7099.69,2009-09-30
364,2009,100912.0,100912.0,0.0,2009-05-04
365,2009,124914.27,124914.27,124914.27,2009-05-29
366,2009,101298.09,101298.09,101298.09,2009-02-12
367,2009,61812.16,61812.16,61812.16,2009-01-16
368,2009,63470.69,63470.69,63470.69,2009-09-01
369,2009,11470.05,11470.05,11470.05,2009-08-24
370,2009,96138.01,96138.01,96138.01,2009-03-31
371,2009,140600.0,140600.0,140600.0,2009-03-30
372,2009,73826.83,73826.83,73826.83,2009-06-02
373,2009,467189.98,467189.98,467189.98,2009-08-07
374,2009,405873.05,405873.05,405873.05,2009-04-22
375,2009,716250.0,716250.0,716250.0,2009-09-10
376,2009,15142.83,15142.83,15142.83,2009-04-14
377,2009,156744.0,156744.0,321084.0,2009-09-30
378,2009,104267.0,104267.0,104267.0,2009-09-29
379,2009,19392.86,19392.86,19392.86,2009-06-05
380,2009,56559.38,56559.38,56559.38,2009-01-01
381,2009,6429.87,6429.87,6429.87,2009-03-23
382,2009,40591.71,40591.71,40591.71,2009-05-01
383,2009,12206.69,12206.69,12206.69,2009-09-19
384,2009,4916.9,4916.9,4916.9,2009-03-10
385,2009,24000.0,24000.0,24000.0,2009-09-29
386,2009,23866.07,23866.07,23866.07,2009-09-17
387,2009,350000.0,350000.0,350000.0,2009-08-06
388,2009,7287.35,7287.35,7287.35,2009-04-28
389,2009,3488.77,3488.77,3488.77,2009-08-05
390,2009,4853.92,4853.92,4853.92,2009-03-12
391,2009,1458643.0,1458643.0,1458643.0,2009-08-12
392,2009,131602.53,131602.53,131602.53,2009-02-12
393,2009,83546.75,83546.75,83546.75,2009-09-18
394,2009,4556716.0,4556716.0,4556716.0,2009-09-28
395,2009,19788.39,19788.39,19788.39,2009-08-21
396,2009,7489.44,7489.44,7489.44,2009-07-14
397,2009,17621.32,17621.32,17621.32,2009-01-29
398,2009,78752.48,78752.48,78752.48,2009-08-14
399,2009,115553.05,115553.05,115553.05,2009-05-01
400,2009,8500.0,8500.0,8500.0,2009-08-26
401,2009,44258.52,44258.52,44258.52,2009-08-26
402,2009,844848.29,844848.29,844848.29,2009-09-29
403,2009,6599.1,6599.1,6599.1,2009-06-16
404,2009,10120.0,10120.0,10120.0,2009-05-06
405,2009,1119485.77,1119485.77,3697343.42,2009-01-09
406,2009,37719.46,37719.46,37719.46,2009-09-02
407,2009,644780.14,644780.14,644780.14,2009-07-31
408,2009,1108421.24,1108421.24,1108421.24,2009-01-23
409,2009,61473.37,61473.37,61473.37,2009-06-29
410,2009,93619.79,93619.79,93619.79,2009-09-21
411,2009,183920.59,183920.59,183920.59,2009-07-30
412,2009,6000.0,6000.0,6000.0,2009-07-01
413,2009,13581.04,13581.04,13581.04,2009-08-31
414,2009,364785.63,364785.63,364785.63,2009-09-21
415,2009,3936.0,3936.0,3936.0,2009-08-01
416,2009,319206.75,319206.75,319206.75,2009-08-19
417,2009,8736.41,8136.41,8736.41,2009-07-22
418,2009,255611.56,255611.56,255611.56,2009-06-17
419,2009,3595.96,3595.96,3595.96,2009-07-01
420,2009,11228.24,11228.24,11228.24,2009-09-23
421,2009,100079.3,100079.3,100079.3,2009-09-28
422,2009,13649.51,13649.51,13649.51,2009-01-26
423,2009,24891.15,24891.15,24891.15,2009-08-17
424,2009,10534.02,10534.02,10534.02,2009-09-30
425,2009,124355.37,124355.37,124355.37,2009-04-29
426,2009,17446.2,17446.2,17446.2,2009-09-23
427,2009,2455786.5,494376.0,2455786.5,2009-09-28
428,2009,2057140.0,2057140.0,2057140.0,2009-09-29
429,2009,8594.73,8594.73,8594.73,2009-05-19
430,2009,509870.23,509870.23,509870.23,2009-03-17
431,2009,109177.2,65000.88,109177.2,2009-09-28
432,2009,309590.66,309590.66,309590.66,2009-02-04
433,2009,492902.3,492902.3,492902.3,2008-10-09
434,2009,208804.28,208804.28,208804.28,2009-04-30
435,2009,13321.5,13321.5,13321.5,2009-05-11
436,2009,19333.85,19333.85,19333.85,2009-08-20
437,2009,117818.0,117818.0,588950.0,2009-01-15
438,2009,288441.56,288441.56,288441.56,2009-02-27
439,2009,8484.06,8484.06,8484.06,2009-08-27
440,2009,3608.34,3608.34,3608.34,2009-09-04
441,2009,509074.46,59125.14,2204844.2,2009-03-23
442,2009,9340.09,9340.09,9340.09,2009-03-05
443,2009,18300.0,18300.0,18300.0,2009-01-14
444,2009,5133.44,5133.44,5133.44,2009-04-03
445,2009,5716.27,5716.27,5716.27,2009-05-08
446,2009,541409.0,541409.0,2168213.0,2009-08-21
447,2009,17239.3,17239.3,17239.3,2009-09-29
448,2009,11782.97,11782.97,11782.97,2009-01-22
449,2009,231724.69,231724.69,364861.33,2009-04-28
450,2009,252681.12,252681.12,252681.12,2009-06-22
451,2009,4435.83,4435.83,4435.83,2009-02-12
452,2009,24056.59,24056.59,24056.59,2009-09-25
453,2009,25892.15,25892.15,25892.15,2009-09-30
454,2009,21458.59,21458.59,21458.59,2009-09-22
455,2009,6381.61,6381.61,6381.61,2009-06-22
456,2009,14126.88,14126.88,14126.88,2009-03-13
457,2009,3184.22,3184.22,3184.22,2009-09-18
458,2009,189817.9,189817.9,189817.9,2009-06-23
459,2009,3686.4,3686.4,0.0,2009-01-20
460,2009,67020.0,67020.0,67020.0,2009-04-03
461,2009,26768.42,26768.42,26768.42,2009-09-16
462,2009,22604.42,22604.42,22604.42,2009-01-23
463,2009,21600.45,21600.45,21600.45,2009-06-17
464,2009,649610.96,649610.96,649610.96,2009-06-22
465,2009,579778.0,461870.0,579778.0,2009-09-30
466,2009,915332.0,915332.0,915332.0,2009-08-26
467,2009,43008.01,43008.01,43008.01,2009-03-21
468,2009,46094.44,46094.44,46094.44,2009-03-21
469,2009,38174.86,38174.86,38174.86,2009-09-02
470,2009,29129.19,29129.19,29129.19,2009-09-24
471,2009,69997.13,69997.13,69997.13,2009-09-15
472,2009,24080.0,24080.0,24080.0,2009-08-10
473,2009,11310.0,11310.0,11310.0,2009-09-25
474,2009,48966.48,48966.48,48966.48,2009-06-30
475,2009,13610.15,13610.15,13610.15,2009-07-16
476,2009,7103.81,7103.81,7103.81,2009-09-01
477,2009,90287.74,90287.74,90287.74,2009-04-20
478,2009,30903.44,30903.44,30903.44,2009-09-01
479,2009,53865.0,53865.0,53865.0,2009-09-14
480,2009,56098.0,56098.0,56098.0,2009-03-13
481,2009,479497.99,479497.99,479497.99,2009-04-09
482,2009,10220.86,10220.86,10220.86,2009-09-01
483,2009,6207.96,6207.96,6207.96,2009-03-06
484,2009,40174.17,40174.17,40174.17,2009-07-30
485,2009,24332.0,24332.0,24332.0,2009-07-15
486,2009,61292.4,61292.4,1025710.4,2009-09-30
487,2009,177111.1,177111.1,177111.1,2009-08-31
488,2009,7939.05,7939.05,7939.05,2009-09-14
489,2009,33000.0,0.0,33000.0,2009-06-17
490,2009,73215.5,73215.0,73215.5,2009-03-04
491,2009,20793.49,20793.49,20793.49,2009-09-24
492,2009,6480.45,6480.45,6480.45,2009-09-30
493,2009,300583.99,300583.99,300583.99,2009-04-09
494,2009,5014.5,5014.5,5014.5,2009-08-10
495,2009,5394.0,5394.0,5394.0,2009-09-26
496,2009,38819.0,38819.0,38819.0,2009-03-31
497,2009,26138.98,26138.98,26138.98,2009-09-30
498,2009,20953.33,20953.33,20953.33,2009-06-17
