,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
207,2009,1131.0,1131.0,1131.0,2008-10-20
208,2009,156984.0,156984.0,156984.0,2008-10-06
209,2009,377.5,377.5,377.5,2008-11-25
210,2009,377.0,377.0,377.0,2008-10-06
211,2009,10540.05,10540.05,10540.05,2008-12-24
212,2009,208222.59,208222.59,208222.59,2008-12-17
213,2009,664.0,664.0,664.0,2008-12-24
214,2009,1992.0,1992.0,1992.0,2008-11-24
215,2009,754.0,754.0,754.0,2008-12-05
216,2009,76623.88,76623.88,76623.88,2008-12-02
217,2009,664.0,664.0,664.0,2008-10-08
218,2009,1132.5,1132.5,1132.5,2008-10-02
219,2009,332.0,332.0,332.0,2008-10-15
220,2009,1075996.0,1075996.0,1075996.0,2008-10-07
221,2009,498229.45,498229.45,498229.45,2008-12-01
222,2009,265.0,265.0,265.0,2008-12-15
223,2009,377.0,377.0,377.0,2008-10-02
224,2009,754.0,754.0,754.0,2008-10-02
225,2009,263309.6,263309.6,263309.6,2008-10-30
226,2009,361000.0,361000.0,361000.0,2008-10-16
227,2009,1130.0,1130.0,1130.0,2008-12-10
228,2009,29582.82,29582.82,29582.82,2008-11-21
229,2009,944.98,944.98,944.98,2008-11-21
230,2009,40560.0,40560.0,40560.0,2008-10-08
231,2009,315533.98,315533.98,315533.98,2008-10-29
232,2009,754.0,754.0,754.0,2008-10-02
233,2009,1132.5,1132.5,1132.5,2008-11-26
234,2009,265.0,265.0,265.0,2008-12-16
235,2009,755.0,755.0,755.0,2008-12-31
236,2009,545227.08,545227.08,545227.08,2008-12-31
237,2009,10313.29,10313.29,10313.29,2008-12-26
238,2009,24754.18,24754.18,24754.18,2008-11-19
239,2009,174984.18,174984.18,174984.18,2008-12-31
240,2009,664.0,664.0,664.0,2008-12-12
241,2009,265.0,265.0,265.0,2008-11-26
242,2009,377.0,377.0,377.0,2008-10-20
243,2009,332.0,332.0,332.0,2008-10-03
244,2009,121587.17,121587.17,121587.17,2008-12-31
245,2009,4530.0,4530.0,4530.0,2008-11-13
246,2009,265.0,265.0,265.0,2008-12-24
247,2009,566.72,566.72,566.72,2008-11-24
248,2009,320900.0,320900.0,320900.0,2008-12-10
249,2009,9920.0,9920.0,9920.0,2008-12-12
250,2009,95500.63,95500.63,95500.63,2008-10-01
251,2009,377.0,377.0,377.0,2008-10-02
252,2009,874327.02,788461.54,4642733.0,2008-12-22
253,2009,31850.0,31850.0,31850.0,2009-06-26
254,2009,530.0,530.0,530.0,2009-08-04
255,2009,3020.0,3020.0,3020.0,2009-04-22
256,2009,530.0,530.0,530.0,2009-08-11
257,2009,2265.0,2265.0,2265.0,2009-08-11
258,2009,121808.16,121808.16,121808.16,2009-06-08
259,2009,377.5,377.5,377.5,2009-08-12
260,2009,332.0,332.0,332.0,2009-08-27
261,2009,2819.25,2819.25,2819.25,2009-08-13
262,2009,530.0,530.0,530.0,2009-03-26
263,2009,1325.0,1325.0,1325.0,2009-03-19
264,2009,5287.4,5287.4,5287.4,2009-01-21
265,2009,377.5,377.5,377.5,2009-06-04
266,2009,1043568.0,1043568.0,12509865.6,2009-04-10
267,2009,1325.0,1325.0,1325.0,2009-06-02
268,2009,2265.0,2265.0,2265.0,2009-06-05
269,2009,6040.0,6040.0,6040.0,2009-07-02
270,2009,2900.0,2900.0,2900.0,2009-08-05
271,2009,377.5,377.5,377.5,2009-06-03
272,2009,482287.72,482287.72,482287.72,2009-04-20
273,2009,53132.27,53132.27,53132.27,2009-09-21
274,2009,92787.5,92787.5,92787.5,2009-09-29
275,2009,3775.0,3775.0,3775.0,2009-07-06
276,2009,2337.12,2337.12,2337.12,2009-09-03
277,2009,754.0,754.0,754.0,2009-03-12
278,2009,5272615.0,1886792.45,28136466.0,2009-08-18
